Scenario,Relationship,Seriousness,Tone,Excuse_Text,Believability_Score
Cancelled plans,Friend,Low,Emotional,I got a last-minute work emergency â€“ our team lead just quit and we have to scramble to figure out who's going to take over his projects.,3
Missed exam,Academic,Medium,Emotional,"I had a sudden case of appendicitis this morning that required immediate medical attention, I know it's an unusual reason but I'm lucky to have gotten help in time.",2
Didn’t attend family dinner,Family,Low,Apologetic,My phone died and I couldn't get in touch with anyone until much later.,1
Cancelled plans,Friend,High,Casual,There was a power outage at my place and I need to get some backup generators installed ASAP.,3
Forgot birthday,Friend,Low,Apologetic,I was so caught up in planning the party for Sarah's milestone birthday that I completely spaced out yours!,2
Late project submission,Professional,Medium,Casual,"I was waiting on some key data from another department before I could finish up my part of the project, but that's finally been delivered so now I can move forward.",2
Didn’t attend family dinner,Family,Medium,Emotional,Here are 10 different natural human-like excuses for not attending family dinner:,3
Late project submission,Professional,High,Apologetic,"There was an unexpected power outage at my place that lasted several hours, causing me to lose access to my work files and requiring me to redo everything from scratch once I got it back up and running again.",4
Cancelled plans,Friend,Low,Formal,The power went out at my place and I had to wait for the utility company to fix the issue before I could even think about heading out.,1
Late to class,Academic,High,Emotional,"I know it's not an ideal situation, but my car broke down on the way here and I had to call a tow truck to come and pick me up.",5
Missed family event,Family,High,Emotional,"I had a sudden and intense stomach bug that knocked me out for most of the day, and I didn't want to risk getting anyone else sick.",3
Forgot birthday,Friend,High,Emotional,Your birthday slipped my mind because I was still reeling from our last conversation and my emotions have been running high ever since.,4
Late project submission,Professional,Medium,Emotional,"To be honest, I've been struggling with anxiety lately, and the deadline got the better of me, making it difficult to focus on the task at hand.",4
Missed family event,Family,Low,Emotional,"I'm really disappointed in myself for not being there, I was running late getting out of the office because we had an unexpected meeting that ran way longer than expected.",3
Forgot anniversary,Romantic,Low,Emotional,"Your birthday was just a few days ago, so technically we're not really late on the gift-giving front, right?",1
Missed meeting,Professional,Low,Casual,"I'm so sorry, but I had a bit of an unexpected issue with my alarm clock that made me oversleep by 20 minutes and I missed our meeting.",1
Missed exam,Academic,High,Emotional,I had a critical family situation that required my immediate attention and couldn't be rescheduled.,4
Missed exam,Academic,Medium,Formal,"I've been struggling with a persistent illness that prevented me from getting out of bed, let alone attending the exam.",3
Late to class,Academic,Low,Emotional,"I was trying to get a good spot in line at the coffee shop before class, but the line just kept moving super slow and I couldn't get out of there fast enough.",3
Forgot birthday,Friend,Medium,Apologetic,"I've been so caught up in work lately, I completely lost track of the date and didn't even realize it was your birthday until now.",4
Didn’t attend family dinner,Family,Low,Apologetic,I was exhausted from a long day and just wanted to go straight to bed when I got home.,1
Cancelled date,Romantic,Medium,Emotional,"Unfortunately, an old friend is in town unexpectedly and I promised them we'd catch up today.",4
Forgot birthday,Friend,Medium,Formal,"I've been feeling under the weather lately and didn't have the energy to do anything celebratory, including calling or sending a message.",3
Forgot anniversary,Romantic,Low,Formal,"In a moment of madness, I decided to play hooky from work and didn't check my schedule, it won't happen again, swear!",1
Didn’t attend family dinner,Family,High,Casual,I forgot my phone charger at work and couldn't get in touch until later.,4
Missed family event,Family,Medium,Apologetic,"I was under the weather and wasn't feeling well enough to leave my house, let alone attend your celebration.",2
Cancelled date,Romantic,Medium,Casual,I've been feeling a bit under the weather all day and think I might be coming down with something.,4
Cancelled plans,Friend,High,Formal,"The unexpected death of a loved one has left me reeling, and I need some time to process and grieve before socializing again.",5
Forgot birthday,Friend,High,Emotional,"I'm so sorry I forgot your birthday, my mind has been preoccupied with some personal struggles and I just lost track of time.",4
Cancelled plans,Friend,Low,Casual,"I was on the phone with my mom for hours, catching up on old times - sorry not sorry!",1
Didn’t attend family dinner,Family,Medium,Emotional,Traffic was a nightmare and I didn't want to risk being late and disrupting everyone's evening.,3
Forgot anniversary,Romantic,Low,Formal,"As a matter of fact, I had written it down on my calendar but then I accidentally threw the page away thinking it was junk mail.",3
Cancelled date,Romantic,Low,Formal,"Unfortunately, I woke up this morning feeling under the weather and don't think it's wise to risk getting you sick.",1
Missed meeting,Professional,High,Apologetic,"Unfortunately, my car broke down on the way to our meeting location and I didn't have time to get it fixed before you left.",3
Late project submission,Professional,Low,Apologetic,"My schedule got thrown off because of some unexpected travel plans, and before I knew it, the deadline had passed.",2
Late project submission,Professional,Medium,Apologetic,"A colleague's sudden resignation left me with an unexpected workload, which slowed down my progress on this project.",3
Late to class,Academic,High,Formal,"I experienced unforeseen technical difficulties with my phone, making it impossible for me to receive important reminders or check the time.",5
Late project submission,Professional,High,Formal,"My primary collaborator on the project was unexpectedly out of commission due to illness, leaving me shouldering the entire workload without adequate support.",5
Late project submission,Professional,Medium,Emotional,"I hit a roadblock and needed some extra time to rework some aspects of the project, which ultimately pushed back the submission.",4
